0.09763,0.43038,-0.74532
0.20553,0.08977,-0.87605
-0.15269,0.29179,-0.77004
-0.12483,0.78355,-0.81482
0.92733,-0.23312,-0.42753
0.58345,0.05779,-0.60514
0.13609,0.85119,-0.85482
-0.85793,-0.82574,-1.77155
-0.95956,0.66524,0.14346
0.55631,0.74002,-0.49813
0.95724,0.59832,0.15664
-0.07704,0.56106,-0.74779
-0.76345,0.27984,-0.21561
-0.71329,0.88934,-0.39280
0.04370,-0.17068,-1.19790
-0.47089,0.54847,-0.53061
-0.08770,0.13687,-0.87417
-0.96242,0.23527,0.10617
0.22419,0.23387,-0.77056
0.88750,0.36364,0.01906
-0.28098,-0.12594,-1.06284
0.39526,-0.87955,-2.49692
0.33353,0.34128,-0.66395
-0.57923,-0.74215,-1.95742
-0.36914,-0.27258,-1.21061
0.14039,-0.12280,-1.11817
0.97675,-0.79591,-1.47535
-0.58225,-0.67738,-1.79721
0.30622,-0.49342,-1.64311
-0.06738,-0.51115,-1.76788
-0.68206,-0.77925,-1.92127
0.31266,-0.72363,-2.14952
-0.60684,-0.26255,-0.96323
0.64199,-0.80580,-2.04296
0.67589,-0.80780,-2.00352
0.95292,-0.06270,-0.15857
0.95352,0.20969,0.07493
0.47853,-0.92162,-2.54203
-0.43439,-0.75961,-2.14792
-0.40772,-0.76254,-2.17778
-0.36403,-0.17147,-1.06836
-0.87171,0.38494,-0.00337
0.13320,-0.46922,-1.67165
0.04650,-0.81212,-2.46949
0.15189,0.85859,-0.85552
-0.36286,0.33482,-0.64562
-0.73640,0.43265,-0.21224
-0.42119,-0.63362,-1.85769
0.17303,-0.95978,-2.85103
0.65788,-0.99061,-2.53911
